cnn,transformer,rnn,gan,diffusion,svm,random_forest,xgboost,yolo,rcnn,unet,attention,self_supervised,reinforcement,transfer_learning,ensemble,contrastive,custom_loss,new_architecture,optimization
1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0
0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1
0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1
1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0
0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1
0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1
1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0
0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1
0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1
1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0
0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1
0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1
1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0
0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1
0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1
1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0
0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1
0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1
1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0
0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1
0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1
1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0
0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1
0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1
1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0
0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1
0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1
1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0
0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1
0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1
